"x","y","name"
4,0.5,"1"
5,0.5,"1"
5.75,1,"1"
6.125,2,"1"
5.75,3,"1"
5,3.5,"1"
4,3.5,"1"
3.25,3,"1"
2.875,2,"1"
3.25,1,"1"
5.75,0,"2"
6.75,0,"2"
7.5,0.5,"2"
7.875,1.5,"2"
7.5,2.5,"2"
6.75,3,"2"
5.75,3,"2"
5,2.5,"2"
4.625,1.5,"2"
5,0.5,"2"
6.875,-1.5,"3"
7.875,-1.5,"3"
8.625,-1,"3"
9,0,"3"
8.625,1,"3"
7.875,1.5,"3"
6.875,1.5,"3"
6.125,1,"3"
5.75,0,"3"
6.125,-1,"3"
6.875,-3.5,"4"
7.875,-3.5,"4"
8.625,-3,"4"
9,-2,"4"
8.625,-1,"4"
7.875,-0.5,"4"
6.875,-0.5,"4"
6.125,-1,"4"
5.75,-2,"4"
6.125,-3,"4"
5.75,-5,"5"
6.75,-5,"5"
7.5,-4.5,"5"
7.875,-3.5,"5"
7.5,-2.5,"5"
6.75,-2,"5"
5.75,-2,"5"
5,-2.5,"5"
4.625,-3.5,"5"
5,-4.5,"5"
4,-5.5,"6"
5,-5.5,"6"
5.75,-5,"6"
6.125,-4,"6"
5.75,-3,"6"
5,-2.5,"6"
4,-2.5,"6"
3.25,-3,"6"
2.875,-4,"6"
3.25,-5,"6"
2.25,-5,"7"
3.25,-5,"7"
4,-4.5,"7"
4.375,-3.5,"7"
4,-2.5,"7"
3.25,-2,"7"
2.25,-2,"7"
1.5,-2.5,"7"
1.125,-3.5,"7"
1.5,-4.5,"7"
1.125,-3.5,"8"
2.125,-3.5,"8"
2.875,-3,"8"
3.25,-2,"8"
2.875,-1,"8"
2.125,-0.5,"8"
1.125,-0.5,"8"
0.375,-1,"8"
0,-2,"8"
0.375,-3,"8"
1.125,-1.5,"9"
2.125,-1.5,"9"
2.875,-1,"9"
3.25,0,"9"
2.875,1,"9"
2.125,1.5,"9"
1.125,1.5,"9"
0.375,1,"9"
0,0,"9"
0.375,-1,"9"
2.25,0,"10"
3.25,0,"10"
4,0.5,"10"
4.375,1.5,"10"
4,2.5,"10"
3.25,3,"10"
2.25,3,"10"
1.5,2.5,"10"
1.125,1.5,"10"
1.5,0.5,"10"
