"Global_x","Global_y","pop_ID"
565.2876587,1706.465698,"Tumor A"
549.7338867,1724.387085,"Tumor A"
472.6902771,1612.433594,"Tumor A"
633.2631836,1994.859619,"Tumor B"
638.6990967,2043.92041,"Tumor B"
1999.708984,418.9029846,"Microglia B"
2006.539185,352.3431396,"Tumor B"
2043.057495,352.1609192,"Tumor B"
1868.356323,494.5851135,"Tumor B"
1768.467896,855.8348389,"Tumor B"
1602.748291,1019.081604,"Tumor B"
1841.019165,733.6815186,"Tumor B"
2018.334961,444.4417419,"Tumor B"
2005.071045,472.9441528,"Tumor B"
2043.670898,596.8860474,"Tumor B"
1971.726807,415.8935242,"Tumor B"
1932.957886,367.0180664,"Tumor B"
985.3931885,1616.564087,"Microglia A"
891.5259399,1850.177734,"Tumor B"
828.7683105,1916.018311,"Tumor B"
946.7094727,1740.027954,"Tumor A"
1712.265015,983.9879761,"Microglia B"
1928.044678,432.8125,"Microglia B"
1576.453369,1047.280029,"Microglia B"
1525.68396,1115.818604,"Tumor B"
727.3071899,2020.313721,"Tumor A"
903.0822144,2012.308228,"Tumor B"
945.8762207,2005.714233,"Tumor B"
893.3826294,2043.443481,"Tumor A"
1398.057617,1327.547363,"Tumor B"
1367.401733,1344.741089,"Microglia B"
1349.765381,1306.38269,"Microglia B"
1721.685303,1061.103394,"Tumor B"
1677.61438,1054.254883,"Microglia B"
2036.920654,1022.857117,"Tumor B"
2001.91748,887.5137329,"Tumor B"
2033.529053,822.1104736,"Tumor B"
2034.518555,796.1317139,"Tumor B"
2038.133667,724.0697632,"Tumor B"
2040.835815,1147.604492,"Tumor B"
1770.154663,884.8659668,"Tumor B"
1653.927368,1041.120972,"Tumor B"
1792.311523,827.7868652,"Tumor B"
1903.571411,955.3406372,"Tumor B"
1894.455811,886.6054688,"Microglia B"
1958.945557,918.5170288,"Tumor B"
1940.020874,853.256958,"Tumor B"
1903.777832,399.3851929,"Tumor B"
1951.063232,413.6392517,"Tumor B"
785.4973145,1976.037476,"Tumor B"
758.4084473,2042.49292,"Tumor A"
927.2113647,2000.869873,"Tumor B"
965.2695923,1970.469604,"Tumor A"
1505.602295,2041.448853,"Tumor B"
1197.845581,2039.051514,"Microglia B"
1326.932373,2029.367188,"Tumor B"
1490.136963,1385.738037,"Tumor B"
1477.590088,1393.857178,"Tumor B"
1446.203735,1332.921265,"Tumor B"
1519.708374,1438.986084,"Microglia B"
1564.210571,1397.25,"Tumor B"
1408.434204,1393.868408,"Microglia B"
1577.692017,1511.535889,"Tumor B"
